entrezgene_id	ensembl_gene_id
8813	ENSG00000000419
57147	ENSG00000000457
55732	ENSG00000000460
2519	ENSG00000001036
2729	ENSG00000001084
4800	ENSG00000001167
90529	ENSG00000001460
57185	ENSG00000001461
81887	ENSG00000001497
6405	ENSG00000001617
54467	ENSG00000001629
1595	ENSG00000001630
889	ENSG00000001631
5893	ENSG00000002016
572	ENSG00000002330
51056	ENSG00000002549
9957	ENSG00000002587
8379	ENSG00000002822
3927	ENSG00000002834
29916	ENSG00000002919
4074	ENSG00000003056
90293	ENSG00000003096
56603	ENSG00000003137
3382	ENSG00000003147
79007	ENSG00000003249
57679	ENSG00000003393
843	ENSG00000003400
8837	ENSG00000003402
7035	ENSG00000003436
55471	ENSG00000003509
10181	ENSG00000003756
9108	ENSG00000003987
6542	ENSG00000003989
381	ENSG00000004059
23098	ENSG00000004139
26073	ENSG00000004142
23129	ENSG00000004399
204	ENSG00000004455
952	ENSG00000004468
2288	ENSG00000004478
23028	ENSG00000004487
10180	ENSG00000004534
84254	ENSG00000004660
5965	ENSG00000004700
55610	ENSG00000004766
115703	ENSG00000004777
4706	ENSG00000004779
5166	ENSG00000004799
51364	ENSG00000004838
10165	ENSG00000004864
7982	ENSG00000004866
93655	ENSG00000004866
996	ENSG00000004897
3052	ENSG00000004961
1856	ENSG00000004975
64063	ENSG00000005001
5976	ENSG00000005007
8935	ENSG00000005020
292	ENSG00000005022
55013	ENSG00000005059
3207	ENSG00000005073
5439	ENSG00000005075
56919	ENSG00000005100
3980	ENSG00000005156
79657	ENSG00000005175
6296	ENSG00000005187
81691	ENSG00000005189
57019	ENSG00000005194
56928	ENSG00000005206
80256	ENSG00000005238
51226	ENSG00000005243
10943	ENSG00000005302
1387	ENSG00000005339
9256	ENSG00000005379
6936	ENSG00000005436
84058	ENSG00000005448
54677	ENSG00000005469
55904	ENSG00000005483
57414	ENSG00000005486
25998	ENSG00000005700
7748	ENSG00000005801
23077	ENSG00000005810
26224	ENSG00000005812
5164	ENSG00000005882
3675	ENSG00000005884
7543	ENSG00000005889
3920	ENSG00000005893
51573	ENSG00000006007
55049	ENSG00000006015
9244	ENSG00000006016
114881	ENSG00000006025
26022	ENSG00000006042
9020	ENSG00000006062
54972	ENSG00000006118
163	ENSG00000006125
10127	ENSG00000006194
6376	ENSG00000006210
64847	ENSG00000006282
51330	ENSG00000006327
4293	ENSG00000006432
5898	ENSG00000006451
55971	ENSG00000006453
80853	ENSG00000006459
55750	ENSG00000006530
221	ENSG00000006534
55001	ENSG00000006555
57157	ENSG00000006576
9855	ENSG00000006607
79017	ENSG00000006625
10926	ENSG00000006634
3475	ENSG00000006652
1352	ENSG00000006695
9569	ENSG00000006704
54623	ENSG00000006712
27072	ENSG00000006715
9912	ENSG00000006740
60528	ENSG00000006744
85477	ENSG00000006747
414	ENSG00000006756
8228	ENSG00000006757
79602	ENSG00000006831
51265	ENSG00000006837
57787	ENSG00000007047
115098	ENSG00000007080
5048	ENSG00000007168
1770	ENSG00000007174
9703	ENSG00000007202
8522	ENSG00000007237
79090	ENSG00000007255
54879	ENSG00000007341
113000	ENSG00000007376
64285	ENSG00000007384
55692	ENSG00000007392
9254	ENSG00000007402
8938	ENSG00000007516
115939	ENSG00000007520
9091	ENSG00000007541
57585	ENSG00000007545
7005	ENSG00000007866
55735	ENSG00000007923
29116	ENSG00000007944
1870	ENSG00000007968
5689	ENSG00000008018
6853	ENSG00000008056
3720	ENSG00000008083
6792	ENSG00000008086
728642	ENSG00000008128
65220	ENSG00000008130
9265	ENSG00000008256
6856	ENSG00000008282
1534	ENSG00000008283
9043	ENSG00000008294
1951	ENSG00000008300
10157	ENSG00000008311
55200	ENSG00000008323
51188	ENSG00000008324
84954	ENSG00000008382
4257	ENSG00000008394
1407	ENSG00000008405
4784	ENSG00000008441
6482	ENSG00000008513
64386	ENSG00000008516
9235	ENSG00000008517
5310	ENSG00000008710
23542	ENSG00000008735
9862	ENSG00000008838
23221	ENSG00000008853
54497	ENSG00000008869
7095	ENSG00000008952
6224	ENSG00000008988
7812	ENSG00000009307
9690	ENSG00000009335
5980	ENSG00000009413
10747	ENSG00000009724
199870	ENSG00000009780
80342	ENSG00000009790
29954	ENSG00000009830
51534	ENSG00000009844
51085	ENSG00000009950
9031	ENSG00000009954
10048	ENSG00000010017
51513	ENSG00000010030
83932	ENSG00000010072
51603	ENSG00000010165
8798	ENSG00000010219
7756	ENSG00000010244
7384	ENSG00000010256
83930	ENSG00000010270
928	ENSG00000010278
9918	ENSG00000010292
25900	ENSG00000010295
2696	ENSG00000010310
51533	ENSG00000010318
56920	ENSG00000010319
11188	ENSG00000010322
80199	ENSG00000010361
3423	ENSG00000010404
5646	ENSG00000010438
7752	ENSG00000010539
10233	ENSG00000010626
3077	ENSG00000010704
22955	ENSG00000010803
2534	ENSG00000010810
3097	ENSG00000010818
6924	ENSG00000011007
11313	ENSG00000011009
1185	ENSG00000011021
9902	ENSG00000011028
10867	ENSG00000011105
55727	ENSG00000011114
9546	ENSG00000011132
54903	ENSG00000011143
51099	ENSG00000011198
3730	ENSG00000011201
26993	ENSG00000011243
54799	ENSG00000011258
51096	ENSG00000011260
54476	ENSG00000011275
54902	ENSG00000011295
5725	ENSG00000011304
8193	ENSG00000011332
9066	ENSG00000011347
23395	ENSG00000011376
5286	ENSG00000011405
5329	ENSG00000011422
54443	ENSG00000011426
58525	ENSG00000011451
23637	ENSG00000011454
54814	ENSG00000011478
5536	ENSG00000011485
23177	ENSG00000011523
8491	ENSG00000011566
57146	ENSG00000011638
672	ENSG00000012048
2067	ENSG00000012061
7869	ENSG00000012171
51360	ENSG00000012174
4007	ENSG00000012211
2137	ENSG00000012232
60481	ENSG00000012660
8284	ENSG00000012817
57658	ENSG00000012822
55148	ENSG00000012963
11183	ENSG00000012983
30845	ENSG00000013016
5704	ENSG00000013275
23324	ENSG00000013288
5010	ENSG00000013297
51629	ENSG00000013306
9961	ENSG00000013364
51667	ENSG00000013374
5238	ENSG00000013375
112611	ENSG00000013392
1195	ENSG00000013441
55703	ENSG00000013503
23357	ENSG00000013523
9604	ENSG00000013561
1774	ENSG00000013563
1663	ENSG00000013573
50865	ENSG00000013583
9052	ENSG00000013588
10046	ENSG00000013619
10460	ENSG00000013810
23376	ENSG00000014123
23649	ENSG00000014138
23144	ENSG00000014164
823	ENSG00000014216
55	ENSG00000014257
4190	ENSG00000014641
10463	ENSG00000014824
10903	ENSG00000014914
1355	ENSG00000014919
440193	ENSG00000015133
10138	ENSG00000015153
10771	ENSG00000015171
7454	ENSG00000015285
637	ENSG00000015475
9782	ENSG00000015479
29881	ENSG00000015520
64132	ENSG00000015532
23386	ENSG00000015676
3670	ENSG00000016082
53832	ENSG00000016402
22802	ENSG00000016602
55830	ENSG00000016864
27032	ENSG00000017260
92745	ENSG00000017483
10928	ENSG00000017797
22902	ENSG00000018189
1272	ENSG00000018236
6556	ENSG00000018280
25937	ENSG00000018408
8540	ENSG00000018510
NA	ENSG00000018607
63932	ENSG00000018610
55622	ENSG00000018699
147948	ENSG00000018869
23187	ENSG00000019144
8685	ENSG00000019169
56981	ENSG00000019485
6591	ENSG00000019549
972	ENSG00000019582
54764	ENSG00000019995
23154	ENSG00000020129
25960	ENSG00000020181
55734	ENSG00000020256
4331	ENSG00000020426
23034	ENSG00000020577
4361	ENSG00000020922
1992	ENSG00000021355
6683	ENSG00000021574
9369	ENSG00000021645
114879	ENSG00000021762
9716	ENSG00000021776
1373	ENSG00000021826
2273	ENSG00000022267
51507	ENSG00000022277
55655	ENSG00000022556
57210	ENSG00000022567
9921	ENSG00000022840
55778	ENSG00000022976
64429	ENSG00000023041
6050	ENSG00000023191
4719	ENSG00000023228
9821	ENSG00000023287
23071	ENSG00000023318
211	ENSG00000023330
330	ENSG00000023445
11215	ENSG00000023516
51022	ENSG00000023572
6617	ENSG00000023608
51071	ENSG00000023697
11171	ENSG00000023734
