#Transcript position	Transcript coverage profile
0.0	802.7723952252791
1.0	885.9604119141629
2.0	1379.2600715007402
3.0	1557.4225047003551
4.0	1648.1642275117501
5.0	1617.1651800880304
6.0	1792.0144594006906
7.0	2050.51839173151
8.0	2004.0421413600807
9.0	1974.4979824372924
10.0	1867.6291449774046
11.0	1621.4733206750302
12.0	1705.5142114679759
13.0	1853.8032178907827
14.0	1824.0344314655276
15.0	1959.7059648780755
16.0	1989.1980307445474
17.0	2225.0111106769905
18.0	2161.4408249748362
19.0	2019.3660335941497
20.0	1908.5585650484086
21.0	2074.1415965692654
22.0	2164.9952578186253
23.0	2102.3695613313607
24.0	2160.838719315666
25.0	2199.842153247972
26.0	2283.3212140743753
27.0	2462.6887697904704
28.0	2534.712593090742
29.0	2388.176055346508
30.0	2304.3809660349416
31.0	2351.433245410836
32.0	2289.6098365633566
33.0	2214.3881479599736
34.0	2161.7824104049705
35.0	2229.558776934037
36.0	2430.7407856627015
37.0	2440.5479794336534
38.0	2198.979053817146
39.0	2104.2055820046726
40.0	2048.9219881377526
41.0	1992.1764300326538
42.0	1991.6272591187223
43.0	2044.4912676476747
44.0	2081.810167612317
45.0	2152.9802141724876
46.0	2133.364251780008
47.0	2134.0835389704953
48.0	2457.913887878976
49.0	2615.6808225705136
50.0	2671.36204547919
51.0	2781.408594201363
52.0	2722.5876575274215
53.0	2585.499060534097
54.0	2619.386051099574
55.0	2658.9942976021202
56.0	2749.7204736176395
57.0	2564.271302249102
58.0	2375.1435246713877
59.0	2349.0575652679445
60.0	2356.533687667892
61.0	2301.4851153706836
62.0	2258.0609381824083
63.0	2375.4184625789308
64.0	2382.134686672764
65.0	2321.8933961155135
66.0	2147.518913657369
67.0	2059.6587355528623
68.0	2100.4991964019246
69.0	2130.6537903739772
70.0	2274.979110941144
71.0	2355.083912702055
72.0	2483.727784493578
73.0	2617.57037591585
74.0	2533.883739712625
75.0	2545.906044657867
76.0	2284.9018753493847
77.0	2058.4499455513746
78.0	1967.4289967177383
79.0	1867.626639371577
80.0	1808.748715976872
81.0	1823.3336988902158
82.0	1830.5299228067006
83.0	1874.1077799022391
84.0	1864.9071619420733
85.0	1803.6728401617722
86.0	1738.2149670923793
87.0	1746.427690697023
88.0	1905.0333999421564
89.0	2016.0454194371903
90.0	1958.2456094417566
91.0	1890.1159818567764
92.0	1881.95301296453
93.0	1830.9812472708131
94.0	1775.3640361778375
95.0	1617.7892959047147
96.0	1319.1958329758622
97.0	886.7936764557622
98.0	575.6736687086658
99.0	145.94169747880548
