#Transcript position	Transcript coverage profile
0.0	1139.114341220555
1.0	1251.5563721416231
2.0	1758.966715943801
3.0	1945.1154222467221
4.0	2058.901696546218
5.0	2050.747875346028
6.0	2234.466272659499
7.0	2518.81781546576
8.0	2503.9025661886135
9.0	2493.923084064218
10.0	2408.8733784675096
11.0	2180.437939395954
12.0	2286.2580776163272
13.0	2450.350613110263
14.0	2447.987361057608
15.0	2607.976617475999
16.0	2661.538312453769
17.0	2911.241082236909
18.0	2862.435233870622
19.0	2734.3307903129135
20.0	2639.4404921209725
21.0	2822.6797293429545
22.0	2924.8763297934665
23.0	2885.1335807250307
24.0	2943.7418764929503
25.0	2972.4744416717217
26.0	3050.2538441788547
27.0	3234.485972645941
28.0	3310.0821390185706
29.0	3171.3817160834906
30.0	3089.962531456773
31.0	3146.827012546008
32.0	3088.9456333978114
33.0	3033.7103473180596
34.0	2997.4124505447644
35.0	3085.1909499876097
36.0	3295.7339039118433
37.0	3317.6353108124595
38.0	3086.396784202327
39.0	2986.4765021286225
40.0	2927.518975521073
41.0	2885.964747561158
42.0	2892.3625460226913
43.0	2946.4382177297584
44.0	2992.660525099589
45.0	3064.343267431606
46.0	3062.5405257566204
47.0	3083.9656054980414
48.0	3428.479731578497
49.0	3589.6694086785583
50.0	3642.381064796349
51.0	3747.845293825361
52.0	3686.4782185260015
53.0	3560.362600271338
54.0	3603.5975519651224
55.0	3655.552541065783
56.0	3766.4682146126243
57.0	3595.1282667269793
58.0	3408.537420166935
59.0	3400.046895661996
60.0	3415.758934526891
61.0	3365.818300769247
62.0	3306.0521969709325
63.0	3411.269049269615
64.0	3420.645776106476
65.0	3373.18925013572
66.0	3200.7672469831173
67.0	3106.885101899671
68.0	3159.9522618864303
69.0	3214.937776226832
70.0	3368.5828324676413
71.0	3447.465470981707
72.0	3569.2869518543157
73.0	3716.3791339988034
74.0	3654.8833682599943
75.0	3679.532894467773
76.0	3421.744840619231
77.0	3218.589271142854
78.0	3155.824096008257
79.0	3031.206351051843
80.0	2961.619608167793
81.0	2985.205680012165
82.0	2970.886874957881
83.0	2966.6392402428073
84.0	2928.8898653860847
85.0	2854.9438996056
86.0	2792.4879265327813
87.0	2787.7505380476146
88.0	2922.8956526859843
89.0	3005.024238898855
90.0	2930.482940571036
91.0	2828.7814938102388
92.0	2784.78146048988
93.0	2695.843883100415
94.0	2602.25140128063
95.0	2395.3354485086315
96.0	2003.2278143968815
97.0	1402.2674342060388
98.0	896.4193671039865
99.0	242.82378027867537
