ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome_name	start_position	end_position	description	external_gene_name
ENSG00000029534	72.2079993219723	2.62953983987604	0.664499959507205	3.9571708052866	7.58427012670537e-05	0.0235510987637166	8	41653220	41896741	ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]	ANK1
ENSG00000049283	379.157862410895	1.49427040083669	0.342246710874555	4.36606212231619	1.26506514234861e-05	0.0104916069138778	17	50532548	50543750	epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]	EPN3
ENSG00000054598	768.309339737138	2.11596081977421	0.440645407251389	4.80195818441165	1.57121508746263e-06	0.00234550988256421	6	1609915	1613897	forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]	FOXC1
ENSG00000059804	194.903276973946	2.64996469822428	0.618121240840281	4.28712770753823	1.80998247234652e-05	0.0122815537941768	12	7919230	8019007	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	SLC2A3
ENSG00000066735	47.0418155060826	3.81299653809528	0.757344195328336	5.03469434586768	4.78611888577687e-07	0.000893089784085964	14	104136454	104180894	kinesin family member 26A [Source:HGNC Symbol;Acc:HGNC:20226]	KIF26A
ENSG00000067221	71.1463064916607	-0.720593298071916	0.195356998231419	-3.68859730951796	0.000225493783488721	0.0420771399989953	15	73978926	73994622	stomatin like 1 [Source:HGNC Symbol;Acc:HGNC:14560]	STOML1
ENSG00000069667	946.654748737172	2.18307018725534	0.521330319477289	4.18749899189478	2.82045273383096e-05	0.0150370422895102	15	60488284	61229302	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	RORA
ENSG00000075213	17.8204152906699	3.38910960794925	0.66541557437886	5.09322254910076	3.52028067032472e-07	0.000750724997808678	7	83955777	84492939	semaphorin 3A [Source:HGNC Symbol;Acc:HGNC:10723]	SEMA3A
ENSG00000084674	6.37683267957007	3.0600885979322	0.692427279094096	4.41936458935547	9.89915237036451e-06	0.00911673092996299	2	21001429	21044073	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]	APOB
ENSG00000091428	79.5151662015237	4.0824532390185	0.984686237549744	4.14594322875591	3.38417675663005e-05	0.0162964485880559	2	172735274	173052893	Rap guanine nucleotide exchange factor 4 [Source:HGNC Symbol;Acc:HGNC:16626]	RAPGEF4
ENSG00000095539	38.8833214027887	2.48179612256599	0.667490679620966	3.71809854180327	0.000200727974043871	0.0404927999530664	10	100969498	100985871	semaphorin 4G [Source:HGNC Symbol;Acc:HGNC:10735]	SEMA4G
ENSG00000102962	42.8797769078797	4.74565505289542	1.26777603330929	3.74329134500816	0.000181625430513733	0.0381873862916761	16	57357925	57366191	C-C motif chemokine ligand 22 [Source:HGNC Symbol;Acc:HGNC:10621]	CCL22
ENSG00000103811	684.235953349336	3.37254324081621	0.890086420035197	3.78900651094402	0.000151250950151065	0.034736525905463	15	78921058	78949574	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	CTSH
ENSG00000104332	196.924977523417	1.42694210470332	0.343758561503724	4.15100091896289	3.31024436759914e-05	0.0162964485880559	8	41261956	41309511	secreted frizzled related protein 1 [Source:HGNC Symbol;Acc:HGNC:10776]	SFRP1
ENSG00000105655	321.81982757606	1.93146405356278	0.469248437867405	4.11607987943595	3.85370793692914e-05	0.0166390672058931	19	18434388	18438178	inositol-3-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:29821]	ISYNA1
ENSG00000105668	119.467688494994	3.33599418214176	0.835700638481549	3.99185309730431	6.55589820474408e-05	0.0227596391628883	19	35666517	35678481	uroplakin 1A [Source:HGNC Symbol;Acc:HGNC:12577]	UPK1A
ENSG00000108417	18.0015859759125	3.00260974637448	0.752016950843532	3.99274210907943	6.53135905649926e-05	0.0227596391628883	17	41420547	41424585	keratin 37 [Source:HGNC Symbol;Acc:HGNC:6455]	KRT37
ENSG00000109320	439.695293867931	-0.360499758310504	0.0981178844069693	-3.67414932037505	0.000238643150267118	0.0429212644239462	4	102500937	102617302	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	NFKB1
ENSG00000111218	11.4928836420727	1.9466436708249	0.487247854247802	3.99518161825478	6.46446775093142e-05	0.0227596391628883	12	3381349	3593977	protein arginine methyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:5188]	PRMT8
