gene_id	gene_name	gene_type	alias	chromosome_name	start_position	end_position	strand	MSTIC1	MSTIC2	MSTIC3	MSTIC4	MSUT1	MSUT2	MSUT3	MSUT4
MIMAT0000062	hsa-let-7a-5p	miRNA	MIMAT0000062	chr11	122146568	122146589	-	3839	1624	708	938	137	0	0	0
MIMAT0000062_1	hsa-let-7a-5p	miRNA	MIMAT0000062	chr22	46112752	46112773	+	2676	4553	1161	0	1852	2107	1149	0
MIMAT0000062_2	hsa-let-7a-5p	miRNA	MIMAT0000062	chr9	94175962	94175983	+	1254	1873	470	0	340	0	385	1527
MIMAT0000063	hsa-let-7b-5p	miRNA	MIMAT0000063	chr22	46113691	46113712	+	1373	1560	353	128	455	530	278	468
MIMAT0000064	hsa-let-7c-5p	miRNA	MIMAT0000064	chr21	16539838	16539859	+	6764	6901	1284	294	3055	2983	465	704
MIMAT0000065	hsa-let-7d-5p	miRNA	MIMAT0000065	chr9	94178841	94178862	+	1224	1109	258	147	194	296	355	341
MIMAT0000066	hsa-let-7e-5p	miRNA	MIMAT0000066	chr19	51692793	51692814	+	1461	1270	228	40	280	258	64	193
MIMAT0000067	hsa-let-7f-5p	miRNA	MIMAT0000067	chr9	94176353	94176374	+	1291	824	0	186	609	507	514	252
MIMAT0000067_1	hsa-let-7f-5p	miRNA	MIMAT0000067	chrX	53557246	53557267	-	5655	5855	2189	844	1486	1258	444	970
MIMAT0000068	hsa-miR-15a-5p	miRNA	MIMAT0000068	chr13	50049167	50049188	-	107	113	200	398	148	317	976	764
MIMAT0000069	hsa-miR-16-5p	miRNA	MIMAT0000069	chr13	50049027	50049048	-	9715	11986	11677	8747	1858	6051	8112	7435
MIMAT0000069_1	hsa-miR-16-5p	miRNA	MIMAT0000069	chr3	160404754	160404775	+	10541	11404	0	0	10688	6087	9263	6485
MIMAT0000070	hsa-miR-17-5p	miRNA	MIMAT0000070	chr13	91350618	91350640	+	544	376	307	343	195	237	562	543
MIMAT0000071	hsa-miR-17-3p	miRNA	MIMAT0000071	chr13	91350655	91350676	+	105	37	15	21	14	0	41	0
MIMAT0000072	hsa-miR-18a-5p	miRNA	MIMAT0000072	chr13	91350756	91350778	+	90	75	149	55	75	105	232	173
MIMAT0000073	hsa-miR-19a-3p	miRNA	MIMAT0000073	chr13	91350939	91350961	+	8	12	6	0	2	4	4	0
MIMAT0000074	hsa-miR-19b-3p	miRNA	MIMAT0000074	chr13	91351245	91351267	+	51	53	0	20	29	29	4	9
MIMAT0000074_1	hsa-miR-19b-3p	miRNA	MIMAT0000074	chrX	134169683	134169705	-	29	17	19	0	0	0	5	18
MIMAT0000075	hsa-miR-20a-5p	miRNA	MIMAT0000075	chr13	91351072	91351094	+	206	193	160	314	104	129	469	405
MIMAT0000076	hsa-miR-21-5p	miRNA	MIMAT0000076	chr17	59841273	59841294	+	7365	7155	2462	1058	2372	1757	944	1478
MIMAT0000077	hsa-miR-22-3p	miRNA	MIMAT0000077	chr17	1713914	1713935	-	1876	1552	1779	642	882	943	397	730
MIMAT0000078	hsa-miR-23a-3p	miRNA	MIMAT0000078	chr19	13836595	13836615	-	30168	25077	15439	5634	11157	13646	6357	9147
MIMAT0000079	hsa-miR-24-1-5p	miRNA	MIMAT0000079	chr9	95086027	95086048	+	1	0	0	4	0	0	0	0
MIMAT0000080	hsa-miR-24-3p	miRNA	MIMAT0000080	chr19	13836289	13836310	-	900	808	283	0	0	0	88	0
MIMAT0000080_1	hsa-miR-24-3p	miRNA	MIMAT0000080	chr9	95086064	95086085	+	7321	5719	3539	1240	3011	3800	1172	2025
MIMAT0000081	hsa-miR-25-3p	miRNA	MIMAT0000081	chr7	100093571	100093592	-	1537	1298	482	532	544	934	784	797
MIMAT0000082	hsa-miR-26a-5p	miRNA	MIMAT0000082	chr12	57824658	57824679	-	6528	8358	3013	996	3265	1788	1140	766
MIMAT0000082_1	hsa-miR-26a-5p	miRNA	MIMAT0000082	chr3	37969413	37969434	+	5328	3003	0	181	1819	1791	0	764
MIMAT0000083	hsa-miR-26b-5p	miRNA	MIMAT0000083	chr2	218402657	218402677	+	1731	1533	429	493	638	732	624	561
MIMAT0000084	hsa-miR-27a-3p	miRNA	MIMAT0000084	chr19	13836447	13836467	-	6857	5185	4179	1388	1056	988	828	1682
MIMAT0000085	hsa-miR-28-5p	miRNA	MIMAT0000085	chr3	188688794	188688815	+	629	415	194	57	213	116	88	34
MIMAT0000086	hsa-miR-29a-3p	miRNA	MIMAT0000086	chr7	130876748	130876769	-	172	166	130	26	61	15	35	84
MIMAT0000087	hsa-miR-30a-5p	miRNA	MIMAT0000087	chr6	71403595	71403616	-	986	1051	209	114	458	397	60	131
MIMAT0000088	hsa-miR-30a-3p	miRNA	MIMAT0000088	chr6	71403554	71403575	-	875	767	184	37	395	364	54	75
MIMAT0000089	hsa-miR-31-5p	miRNA	MIMAT0000089	chr9	21512158	21512178	-	168	96	149	64	25	11	26	46
MIMAT0000090	hsa-miR-32-5p	miRNA	MIMAT0000090	chr9	109046272	109046293	-	0	5	2	9	0	0	26	17
MIMAT0000091	hsa-miR-33a-5p	miRNA	MIMAT0000091	chr22	41900949	41900969	+	7	0	0	0	0	0	0	5
MIMAT0000092	hsa-miR-92a-3p	miRNA	MIMAT0000092	chr13	91351361	91351382	+	1993	2178	624	105	774	833	808	857
MIMAT0000092_1	hsa-miR-92a-3p	miRNA	MIMAT0000092	chrX	134169544	134169565	-	140	132	101	338	39	0	0	0
MIMAT0000093	hsa-miR-93-5p	miRNA	MIMAT0000093	chr7	100093815	100093837	-	461	412	120	151	120	148	279	277
MIMAT0000094	hsa-miR-95-3p	miRNA	MIMAT0000094	chr4	8005312	8005333	-	16	9	0	3	0	14	0	0
MIMAT0000095	hsa-miR-96-5p	miRNA	MIMAT0000095	chr7	129774739	129774761	-	11	14	7	0	0	0	17	14
MIMAT0000096	hsa-miR-98-5p	miRNA	MIMAT0000096	chrX	53556299	53556320	-	397	348	72	25	96	97	75	64
MIMAT0000097	hsa-miR-99a-5p	miRNA	MIMAT0000097	chr21	16539101	16539122	+	26007	22437	6493	2213	12974	10726	2285	3246
MIMAT0000098	hsa-miR-100-5p	miRNA	MIMAT0000098	chr11	122152275	122152296	-	17525	17246	10620	4074	6689	5294	2573	3558
MIMAT0000099	hsa-miR-101-3p	miRNA	MIMAT0000099	chr1	65058442	65058462	-	3	6	0	0	1	0	0	0
MIMAT0000099_1	hsa-miR-101-3p	miRNA	MIMAT0000099	chr9	4850345	4850365	+	1	15	25	85	2	39	255	138
MIMAT0000100	hsa-miR-29b-3p	miRNA	MIMAT0000100	chr1	207802450	207802472	-	0	0	0	30	0	22	27	38
