ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome_name	start_position	end_position	description	external_gene_name
ENSG00000010818	567.360018174169	-0.426253111570327	0.121587916966704	-3.50571933629764	0.00045537512825635	0.03033872834827	6	142751467	142956698	HIVEP zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4921]	HIVEP2
ENSG00000023516	295.84358706071	-0.509211153856282	0.152832657919869	-3.33182161971734	0.000862795401140684	0.0462981477924315	13	42271475	42323283	A-kinase anchoring protein 11 [Source:HGNC Symbol;Acc:HGNC:369]	AKAP11
ENSG00000038219	459.787593429595	-0.449457576725715	0.131869711203249	-3.40834580302502	0.000653580119502441	0.0398572519565553	4	13568738	13627725	biorientation of chromosomes in cell division 1 like 1 [Source:HGNC Symbol;Acc:HGNC:31792]	BOD1L1
ENSG00000038382	1161.90218103976	-0.463306772760454	0.120060363356728	-3.85894861390564	0.000113875876325765	0.0109793009540427	5	14143342	14532128	trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]	TRIO
ENSG00000044574	26085.5905699538	0.297311341518746	0.0892836943118621	3.32996236110321	0.000868577244014504	0.0463984573728288	9	125234853	125241382	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	HSPA5
ENSG00000046604	1351.9979286741	-0.465587336575577	0.123708312674592	-3.76358974194627	0.00016749158141929	0.0150475959397831	18	31497624	31551351	desmoglein 2 [Source:HGNC Symbol;Acc:HGNC:3049]	DSG2
ENSG00000053254	271.116621783623	-0.567966217265235	0.155804276217818	-3.64538272666666	0.000266994150491138	0.0206946642527739	14	89124871	89619271	forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928]	FOXN3
ENSG00000054598	388.262847568045	2.09211889378531	0.156583811507666	13.3610165293676	1.02159426632318e-40	1.21150864043266e-36	6	1609915	1613897	forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]	FOXC1
ENSG00000054654	891.78197476596	-0.535435677719012	0.153447410783209	-3.48937577366801	0.000484150031336664	0.0313745094077677	14	63761899	64226433	spectrin repeat containing nuclear envelope protein 2 [Source:HGNC Symbol;Acc:HGNC:17084]	SYNE2
ENSG00000062282	315.278207072267	0.601447672010313	0.161914957417624	3.71458994031669	0.000203533471192172	0.0174906046004925	11	75759512	75801542	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16940]	DGAT2
ENSG00000064300	355.573139643812	-0.756397877237957	0.163353556341545	-4.63043409753782	3.64899911626068e-06	0.000668513806681577	17	49495293	49515008	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	NGFR
ENSG00000065534	2066.58979905592	-0.394938926788481	0.118238389357311	-3.34019203860256	0.000837204761567578	0.0459648669788422	3	123610049	123884375	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	MYLK
ENSG00000066084	1172.51309250487	-0.387213693361839	0.100306635016439	-3.86029990237815	0.000113247946060984	0.0109793009540427	12	50504962	50748657	disco interacting protein 2 homolog B [Source:HGNC Symbol;Acc:HGNC:29284]	DIP2B
ENSG00000066322	2193.47079952874	0.485887977440653	0.0932202432503843	5.21225820163959	1.86555644592977e-07	6.14545385896699e-05	1	43363396	43368075	ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]	ELOVL1
ENSG00000068078	922.325087941958	-0.5410895705086	0.113945001194714	-4.74869072653711	2.04737751967307e-06	0.00042596228080356	4	1793286	1808873	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	FGFR3
ENSG00000071967	1682.2056395243	-0.348778071557905	0.105330837677679	-3.31126267717717	0.000928759819971534	0.0483077311624668	2	171522247	171558129	cytochrome b reductase 1 [Source:HGNC Symbol;Acc:HGNC:20797]	CYBRD1
ENSG00000072364	1165.64222308202	-0.354585236887307	0.104483915677155	-3.39368250691276	0.0006895959096616	0.0413026156195804	5	132875395	132963634	ALF transcription elongation factor 4 [Source:HGNC Symbol;Acc:HGNC:17869]	AFF4
ENSG00000073282	3968.08065741717	-0.453560442897462	0.10949071231958	-4.14245586030728	3.43606513292856e-05	0.00428929435909472	3	189631389	189897276	tumor protein p63 [Source:HGNC Symbol;Acc:HGNC:15979]	TP63
ENSG00000073737	25.8250341213267	1.9319529262164	0.481716624319413	4.01055896492246	6.05751696180432e-05	0.00659046730734288	2	169064789	169096168	dehydrogenase/reductase 9 [Source:HGNC Symbol;Acc:HGNC:16888]	DHRS9
ENSG00000074410	1700.32408717157	-0.572183578512795	0.12276794421136	-4.66069202501029	3.15147983715322e-06	0.000614710890656144	15	63321378	63382027	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	CA12
ENSG00000075223	930.023031187853	-0.395839768795673	0.117245399258298	-3.37616461967619	0.000735039253527131	0.0425383409717553	7	80742538	80922379	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	SEMA3C
ENSG00000080200	128.962577359041	-0.744867327432353	0.2185903380322	-3.40759492911634	0.000655381071888715	0.0398572519565553	3	97822011	97944984	crystallin beta-gamma domain containing 3 [Source:HGNC Symbol;Acc:HGNC:34427]	CRYBG3
ENSG00000082684	113.783124875809	0.809598141396652	0.225271077537199	3.59388408954969	0.000325784811833393	0.0238817576991231	3	122908792	123028605	semaphorin 5B [Source:HGNC Symbol;Acc:HGNC:10737]	SEMA5B
ENSG00000085491	397.111727946659	-0.479590884507565	0.139002301043097	-3.45023701700354	0.000560094574169246	0.0353306465695377	1	108134043	108200849	solute carrier family 25 member 24 [Source:HGNC Symbol;Acc:HGNC:20662]	SLC25A24
ENSG00000087128	22.0367764103149	1.65459799970467	0.486941421859847	3.39794054361821	0.00067895174192674	0.0408715162817727	4	68447463	68497604	transmembrane serine protease 11E [Source:HGNC Symbol;Acc:HGNC:24465]	TMPRSS11E
ENSG00000087245	140.455219646482	0.748682904724836	0.195744287860815	3.82480077915321	0.000130877875475022	0.0123181009941134	16	55389700	55506691	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	MMP2
ENSG00000087494	224.698833253703	0.682090478346832	0.182309791410652	3.74138148625505	0.000183011475374145	0.0160765413811999	12	27958084	27972755	parathyroid hormone like hormone [Source:HGNC Symbol;Acc:HGNC:9607]	PTHLH
ENSG00000088002	480.88334568544	0.509574713014031	0.140071915291412	3.63795063381468	0.00027481608212822	0.020891307166401	19	48552172	48599425	sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459]	SULT2B1
ENSG00000095015	186.570765202174	-0.612187311386022	0.182094459713921	-3.36192167706693	0.000774020749543921	0.0439620159179119	5	56815538	56896152	mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848]	MAP3K1
ENSG00000099219	1138.37877739471	-0.379245534144785	0.103320219633375	-3.67058389432884	0.000241997023427971	0.0192606892673309	9	5749832	5879537	endoplasmic reticulum metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:23703]	ERMP1
ENSG00000100170	165.872374607555	0.849978550673448	0.190169250579765	4.46958984211242	7.83697356770918e-06	0.00130234419737918	22	32043050	32113029	solute carrier family 5 member 1 [Source:HGNC Symbol;Acc:HGNC:11036]	SLC5A1
ENSG00000100644	1919.25070771686	-0.369940266567983	0.10162436574152	-3.64027134505245	0.000272350874625059	0.0208374775624424	14	61695456	61748263	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	HIF1A
ENSG00000101210	107.683090009809	1.142349855661	0.232196717986239	4.91975022544762	8.66547225177888e-07	0.000226778358481928	20	63477488	63500533	eukaryotic translation elongation factor 1 alpha 2 [Source:HGNC Symbol;Acc:HGNC:3192]	EEF1A2
ENSG00000101752	518.346017362686	-0.452834012749549	0.135744586952106	-3.33592685290147	0.000850155294020685	0.0460364914693667	18	21704957	21870953	MIB E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21086]	MIB1
ENSG00000101972	684.321255066629	-0.541620152127267	0.118220979191916	-4.58142163793128	4.6182565523703e-06	0.000805410359625874	X	123960212	124422664	STAG2 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:11355]	STAG2
ENSG00000102189	430.798120921767	-0.551600985538388	0.16266441958526	-3.39103650905826	0.000696288250612824	0.0414938812262185	12	92770637	92929350	early endosome antigen 1 [Source:HGNC Symbol;Acc:HGNC:3185]	EEA1
ENSG00000102780	179.478252491311	-0.606800649005724	0.180727564644532	-3.35754343948154	0.000786383858787754	0.0441977544140473	13	42040036	42256578	diacylglycerol kinase eta [Source:HGNC Symbol;Acc:HGNC:2854]	DGKH
ENSG00000103044	1947.52011176582	-0.531599498819002	0.100197098325536	-5.30553786190351	1.12341246018352e-07	3.91839657803424e-05	16	69105653	69118719	hyaluronan synthase 3 [Source:HGNC Symbol;Acc:HGNC:4820]	HAS3
ENSG00000103319	259.983137219159	-0.577707068942646	0.159184512460686	-3.6291663052668	0.000284338024619871	0.0213415483162472	16	22206272	22288738	eukaryotic elongation factor 2 kinase [Source:HGNC Symbol;Acc:HGNC:24615]	EEF2K
ENSG00000105131	645.300421042896	0.542251550450198	0.131271899941227	4.13075114089898	3.61579840824587e-05	0.00437548503299875	19	15226899	15233591	epoxide hydrolase 3 [Source:HGNC Symbol;Acc:HGNC:23760]	EPHX3
