ID	5p4_25c	5p4_27c	5p4_31cfoxc1	5p4_32cfoxc1	5p4_33cfoxc1	chromosome_name	start_position	end_position	description	external_gene_name
ENSG00000000003	7.2667554225606	7.56901511204003	7.32563423236434	7.37873104414324	7.61611877109856	X	100627108	100639991	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	TSPAN6
ENSG00000000419	8.23339924926668	8.1281930895946	7.89875464690139	8.36149026794674	8.25615092847554	20	50934852	50959140	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	DPM1
ENSG00000000457	5.50107323866601	5.6580705732554	5.94567953959452	5.70606280538599	5.8270314659492	1	169846981	169894267	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	SCYL3
ENSG00000000460	3.70914560142428	2.59705845248819	3.29305625397329	3.56455122038548	3.16462543631556	1	169662007	169855456	FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565]	FIRRM
ENSG00000001036	8.60186169695913	8.8282521430506	8.38160738063481	8.62163107307884	8.68404905875035	6	143493961	143511842	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	FUCA2
ENSG00000001084	10.7833870087812	10.7105924923679	10.8543600688631	10.9195114065882	10.5667407684743	6	53497341	53616970	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	GCLC
ENSG00000001167	8.74072592502351	8.70795512079171	8.56788075803798	8.73932171820137	8.5827667751978	6	41072946	41102403	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	NFYA
ENSG00000001460	7.91025649189805	7.79579713913103	8.01785531233417	7.82956499136344	7.54865725543003	1	24355886	24416934	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	STPG1
ENSG00000001461	9.17683080866137	9.16929581206829	9.25102469782465	9.23749864213986	9.18880367020589	1	24413527	24476735	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	NIPAL3
ENSG00000001497	7.9042072819969	7.93925613783152	7.67539872833124	7.70574511560539	7.75561538841723	X	65438549	65534818	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	LAS1L
ENSG00000001617	11.3240085620614	11.3846400475621	11.5775350841614	11.3934687361272	11.5298000090304	3	50155012	50189075	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	SEMA3F
ENSG00000001629	8.99809519386345	8.78265424689751	9.38789180463185	9.20416842734307	9.18387140958629	7	92245973	92402070	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	ANKIB1
ENSG00000001630	5.00913528213357	5.10154137595205	5.52316388062231	4.93263920649169	4.85222365818305	7	92084987	92134803	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	CYP51A1
ENSG00000001631	5.81661609391061	5.4736066381631	5.32622810018499	5.908824141121	5.85212063950338	7	92197498	92246166	KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]	KRIT1
ENSG00000002016	5.62394703782095	5.99155387155787	6.05582456665813	6.31784593747909	6.03852127612168	12	910870	990053	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	RAD52
ENSG00000002330	7.7575781438058	7.93330662610087	7.69595785217395	7.44545115328328	7.60139757649929	11	64269828	64291946	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	BAD
ENSG00000002549	8.1386784590584	8.15400319965074	8.24875940798189	8.06526413998854	8.15896436620095	4	17577198	17607975	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	LAP3
ENSG00000002587	6.1792234718434	5.8471398473055	6.32583221546785	6.35302868739419	6.03852127612168	4	11393150	11429564	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	HS3ST1
ENSG00000002822	2.00707752684939	1.59464736179471	2.77987111205319	0	1.58098965305343	7	1815787	2233243	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	MAD1L1
ENSG00000002834	11.5882703269494	11.6776118784221	11.6229777326832	11.6470536474153	11.6704363311463	17	38869185	38921771	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	LASP1
ENSG00000002919	8.08085643208191	8.00879986574854	7.79457576336774	7.97216023875161	8.09734615649128	17	48103357	48123601	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]	SNX11
ENSG00000003056	8.00939229529721	7.94518121517658	8.15781999094632	8.10708195718193	8.04934151879149	12	8940358	8951856	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	M6PR
ENSG00000003096	5.13844347790125	4.76885596481602	5.09809481941092	5.02279313809937	5.31611409857936	X	117897794	118117340	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	KLHL13
ENSG00000003137	3.91569291642838	4.82134247944319	5.09809481941092	4.62247282713625	4.24227860926789	2	72129238	72147862	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	CYP26B1
ENSG00000003147	5.05353830314623	5.01405200024381	4.29143519492699	4.22682757847097	4.6947061536934	7	8113181	8262687	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	ICA1
ENSG00000003249	7.53293988536688	7.53798654769346	7.35178296338918	7.25398801269701	7.12336231839205	16	90004871	90019890	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	DBNDD1
ENSG00000003393	8.52510316746954	8.48206780543135	8.60459043347957	8.64665890213225	8.67000826177797	2	201700267	201782112	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	ALS2
ENSG00000003400	6.91624128235695	7.18432780675731	6.87504542031412	6.93209613016762	6.99408330292369	2	201182693	201229428	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	CASP10
ENSG00000003402	8.94898908085022	8.85052179808924	8.7656187210595	8.9917826502799	8.85823558637758	2	201116154	201176687	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	CFLAR
ENSG00000003436	2.59282428046555	2.81979498664789	0.984031472924891	2.98052279690936	2.80224496271054	2	187463823	187565846	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	TFPI
ENSG00000003509	6.46875382397601	6.76925690114657	6.47603569171098	6.77233689114373	6.68059516108888	2	37231631	37253403	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	NDUFAF7
ENSG00000003756	9.46679651794262	9.3250930761646	9.3010899171558	9.40820384251546	9.40131318332819	3	50088919	50119021	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	RBM5
ENSG00000003987	2.32947622463054	2.59705845248819	1.97598043594667	2.78827785272642	0.99702139037312	8	17296794	17413528	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]	MTMR7
ENSG00000003989	2.81544069577597	2.01089091010935	3.87693825107491	2.30413070832589	1.99552977625034	8	17496975	17570573	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	SLC7A2
ENSG00000004059	10.8650711018274	10.9236385628996	10.6350157322931	10.6781719610882	10.7786748514912	7	127588370	127591700	ARF GTPase 5 [Source:HGNC Symbol;Acc:HGNC:658]	ARF5
ENSG00000004139	5.13844347790125	5.10154137595205	4.9231277578094	4.9784202720057	4.38663857131961	17	28364356	28404049	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]	SARM1
ENSG00000004142	10.4272746525209	10.4861680717964	10.348369645379	10.2940178916753	10.4203057158572	17	28346173	28357584	DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]	POLDIP2
ENSG00000004399	2.81544069577597	3.82082683292311	3.14141314864487	3.67988467992081	3.3165621618502	3	129555213	129606681	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]	PLXND1
ENSG00000004455	9.35148919450891	9.16422473337694	9.17982727642971	9.27467065358668	9.18633964768588	1	33007986	33080996	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	AK2
ENSG00000004468	2.32947622463054	1.00726973412063	2.29629291785409	1.57014663376751	0.99702139037312	4	15778275	15853232	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	CD38
ENSG00000004478	10.1335418981488	10.211707421104	9.95233473505957	10.0001081523428	10.1090856568801	12	2794290	2805423	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	FKBP4
ENSG00000004487	9.57927224986953	9.51830888099149	9.50708667833926	9.63417143619544	9.67000095654802	1	23019395	23083693	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	KDM1A
ENSG00000004534	9.38445428499421	9.27422274260417	9.38367353389846	9.29516655690433	9.19371912593494	3	49940007	50100045	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]	RBM6
ENSG00000004660	6.76422948631858	7.09121172116133	7.12798264066847	6.66443726153894	6.83957863116083	17	3860315	3894891	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	CAMKK1
ENSG00000004700	7.07544806019382	6.93324699279263	7.19691939781475	7.23525334359457	7.00531019645676	12	21468910	21501669	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]	RECQL
ENSG00000004766	7.79074600124456	7.56901511204003	7.41928089401875	7.84200126028578	7.70831059155094	7	93232340	93361123	VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]	VPS50
ENSG00000004777	3.00825374637908	3.18282375549048	3.55555050915245	3.43919021551714	3.3165621618502	19	35774532	35788822	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]	ARHGAP33
ENSG00000004779	7.77757022056431	7.89708492211759	7.56050951390977	7.76572290742136	7.93069894784382	16	23581014	23596319	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	NDUFAB1
ENSG00000004799	2.00707752684939	2.81979498664789	1.97598043594667	3.15013650646195	4.16429356622822	7	95583497	95597638	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	PDK4
ENSG00000004838	1.59125534812168	1.00726973412063	1.97598043594667	2.30413070832589	2.57999472935762	3	50341110	50345732	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	ZMYND10
ENSG00000004864	7.68180827904918	7.64378675727262	7.35178296338918	7.46969658538303	7.85824840964756	7	96120218	96322147	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	SLC25A13
