ensembl_gene_id	chromosome_name	start_position	end_position	description	external_gene_name
ENSG00000000457	1	169846981	169894267	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	SCYL3
ENSG00000000460	1	169662007	169855456	FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565]	FIRRM
ENSG00000001460	1	24355886	24416934	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	STPG1
ENSG00000001461	1	24413527	24476735	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	NIPAL3
ENSG00000001617	3	50155012	50189075	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	SEMA3F
ENSG00000003137	2	72129238	72147862	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	CYP26B1
ENSG00000003393	2	201700267	201782112	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	ALS2
ENSG00000003400	2	201182693	201229428	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	CASP10
ENSG00000003402	2	201116154	201176687	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	CFLAR
ENSG00000003436	2	187463823	187565846	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	TFPI
ENSG00000003509	2	37231631	37253403	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	NDUFAF7
ENSG00000003756	3	50088919	50119021	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	RBM5
ENSG00000004399	3	129555213	129606681	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]	PLXND1
ENSG00000004455	1	33007986	33080996	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	AK2
ENSG00000004468	4	15778275	15853232	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	CD38
ENSG00000004487	1	23019395	23083693	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	KDM1A
ENSG00000004534	3	49940007	50100045	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]	RBM6
ENSG00000004838	3	50341110	50345732	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	ZMYND10
ENSG00000005059	4	109560209	109688719	mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]	MCUB
ENSG00000005436	2	75652000	75711184	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]	GCFC2
ENSG00000005448	2	74421477	74425770	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]	WDR54
ENSG00000006555	1	54779712	54801323	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]	TTC22
ENSG00000006607	2	241356264	241494847	FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]	FARP2
ENSG00000007341	1	112523487	112620825	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441]	ST7L
ENSG00000007402	3	50362613	50504244	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	CACNA2D2
ENSG00000007923	1	6634168	6701924	DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]	DNAJC11
ENSG00000007968	1	23506438	23531233	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	E2F2
ENSG00000008128	1	1702379	1724482	cyclin dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]	CDK11A
ENSG00000008130	1	1751232	1780544	NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]	NADK
ENSG00000008226	3	38039205	38124025	DLEC1 cilia and flagella associated protein [Source:HGNC Symbol;Acc:HGNC:2899]	DLEC1
ENSG00000008300	3	48636463	48662886	cadherin EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:HGNC:3230]	CELSR3
ENSG00000008324	3	42581840	42596934	SS18 like 2 [Source:HGNC Symbol;Acc:HGNC:15593]	SS18L2
ENSG00000008869	2	36968383	37084398	HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]	HEATR5B
ENSG00000008952	3	169966635	169998373	SEC62 homolog, preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]	SEC62
